data;tmin;tmax;tmed
27/11/2002;29.5;19.4;22.9
28/11/2002;25.8;18.2;20.8
29/11/2002;22.4;18.2;20.4
30/11/2002;28.4;18;22.7
01/12/2002;27.4;17;20.7
02/12/2002;22;16.5;19.6
03/12/2002;22;17.6;19.8
04/12/2002;25;17;20.6
05/12/2002;27;18;21.7
06/12/2002;26.2;17.4;22
07/12/2002;25.4;18.4;20.7
08/12/2002;21;16;18.2
09/12/2002;19.5;13.2;16.3
10/12/2002;19.8;14;17.3
11/12/2002;25.4;16;19
12/12/2002;26.5;16.6;20
13/12/2002;28;14.2;20.7
14/12/2002;30;17;23.3
15/12/2002;25.4;18;21.9
16/12/2002;27.6;15.4;21.8
17/12/2002;28;16;20.5
18/12/2002;27.6;11.6;20.3
19/12/2002;29;17.6;22
20/12/2002;26.5;16.8;21
21/12/2002;23;18;21
22/12/2002;27.8;18;21.9
23/12/2002;28.8;17;21.1
24/12/2002;23.4;16;20.1
25/12/2002;26.8;16.8;19.8
26/12/2002;24.8;15.2;18.4
27/12/2002;29.4;13;20.5
28/12/2002;30.4;15.4;22.6
29/12/2002;31;16.4;22.8
30/12/2002;31;19.2;24.6
31/12/2002;31;19.2;23.4
01/01/2003;30.6;17;23
02/01/2003;29.2;16.2;22.8
03/01/2003;28.8;18;22.2
04/01/2003;26.5;18.6;21.6
05/01/2003;28.4;18.2;22.6
06/01/2003;29.4;14.6;22.2
07/01/2003;29.4;13.2;21
08/01/2003;30.4;15.2;23.4
09/01/2003;31.8;19.4;24.2
10/01/2003;23.6;16.6;19.3
11/01/2003;24.2;15;19.6
12/01/2003;25.8;16.4;19.4
13/01/2003;26.5;15.8;20.3
14/01/2003;26.7;17.6;20.8
15/01/2003;25.8;17.4;20.7
16/01/2003;25.5;16;20
17/01/2003;27.2;18.2;22.3
18/01/2003;29.6;16.8;22.9
19/01/2003;28.6;19;22.1
20/01/2003;26;19;21.7
21/01/2003;28.6;14.8;21.8
22/01/2003;27.2;16.8;22.1
23/01/2003;23.8;19.2;21
24/01/2003;24.3;17;20
25/01/2003;21.2;16.2;18.8
26/01/2003;23.8;16.6;18.9
27/01/2003;21;16.8;18.8
28/01/2003;27;15;20.8
29/01/2003;28.8;15.8;22
30/01/2003;29.5;18;23.1
31/01/2003;29.4;19;23.6
01/02/2003;28;19.4;22
02/02/2003;30.4;18;23.7
03/02/2003;31.2;16.8;23.3
04/02/2003;31.8;16.2;23.1
05/02/2003;29.4;16;21.8
